OID_,NAME,ZONE_CODE,COUNT,AvgNDVI_AREA,AvgNDVI_MIN,AvgNDVI_MAX,AvgNDVI_RANGE,AvgNDVI_MEAN,AvgNDVI_STD,AvgNDVI_SUM,AvgNDVI_MEDIAN,AvgNDVI_PCT90,AvgNDVI_Date,AvgNDVI_Year,AvgNDVI_Month
1,Nekatambe,1,5882,0.034248351,108.6666641,190,81.33333588,171.3122521,12.17602674,1007658.667,175,183.3333282,2015_01,2015,1
2,Nemananga,2,3134,0.018247931,131,189.3333282,58.33332825,170.5361626,11.88546262,534460.3337,174.6666718,182.6666718,2015_01,2015,1
3,Sidinda,3,8465,0.049288047,140,190,50,174.1101006,6.745807698,1473842.001,175,182,2015_01,2015,1
4,Simangani,4,7246,0.042190335,127,190,63,173.8144263,8.38782076,1259459.333,175,183.3333282,2015_01,2015,1
5,Unknown 16,5,1665,0.009694577,99,185.6666718,86.66667175,167.6050049,12.32556093,279062.3331,170,179,2015_01,2015,1
6,Chidobe,6,1918,0.011167687,134,188.3333282,54.33332825,164.6152243,11.21167082,315732.0002,166,178.3333282,2015_01,2015,1
7,Jambezi,7,3851,0.022422713,134.3333282,190,55.66667175,172.6020082,9.421416826,664690.3336,175.6666718,181.6666718,2015_01,2015,1
8,Kachecheti,8,2626,0.015290066,131.3333282,189.3333282,58,164.1987816,10.98864713,431186.0005,164.6666718,178.3333282,2015_01,2015,1
9,Mabale,9,1780,0.010364173,134,190,56,174.1867041,7.993468508,310052.3334,175.6666718,183.3333282,2015_01,2015,1
10,Nekatambe,1,5882,0.034248351,105,188.6666718,83.66667175,168.8266463,11.17448239,993038.3334,171.6666718,180.9666672,2015_02,2015,2
11,Nemananga,2,3134,0.018247931,139.3333282,189.3333282,50,169.4520314,9.01065473,531062.6664,171.3333282,180,2015_02,2015,2
12,Sidinda,3,8465,0.049288047,140.6666718,189,48.33332825,171.369561,5.862704789,1450643.334,171.6666718,178.3333282,2015_02,2015,2
13,Simangani,4,7246,0.042190335,132.3333282,188.3333282,56,169.6370872,7.852943494,1229190.334,171,178.6666718,2015_02,2015,2
14,Unknown 16,5,1665,0.009694577,98.33333588,187,88.66666412,167.1151153,10.76029505,278246.667,169,177.6666718,2015_02,2015,2
15,Chidobe,6,1918,0.011167687,138.6666718,185.3333282,46.66665649,162.255822,9.110968603,311206.6667,163,173.6666718,2015_02,2015,2
16,Jambezi,7,3851,0.022422713,143,190,47,171.0420669,7.759116725,658682.9997,173,179.3333282,2015_02,2015,2
17,Kachecheti,8,2626,0.015290066,132,188.6666718,56.66667175,162.2314039,9.531008366,426019.6668,162,175,2015_02,2015,2
18,Mabale,9,1780,0.010364173,153.3333282,188.6666718,35.33334351,174.427528,5.928311174,310480.9998,175,181.6666718,2015_02,2015,2
19,Nekatambe,1,5882,0.034248351,107,187.3333282,80.33332825,159.8456307,10.89937502,940211.9998,161.3333282,172.3333282,2015_03,2015,3
20,Nemananga,2,3134,0.018247931,130.3333282,188,57.66667175,162.2596255,9.535242967,508521.6664,162.6666718,174.3333282,2015_03,2015,3
21,Sidinda,3,8465,0.049288047,136.6666718,187.6666718,51,163.3056901,5.924368366,1382382.667,163,170.3333282,2015_03,2015,3
22,Simangani,4,7246,0.042190335,129.3333282,189,59.66667175,158.3565645,8.222962022,1147451.667,159.3333282,168,2015_03,2015,3
23,Unknown 16,5,1665,0.009694577,99,178,79,156.1165166,9.448469571,259934.0002,157,167,2015_03,2015,3
24,Chidobe,6,1918,0.011167687,132,186.6666718,54.66667175,155.4198818,8.998096761,298095.3334,154.6666718,166.6666718,2015_03,2015,3
25,Jambezi,7,3851,0.022422713,138.3333282,189,50.66667175,162.9312733,7.702454299,627448.3336,163,171.6666718,2015_03,2015,3
