OID_,LC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Date,Year,Month,MERGE_SRC
0,forest,1,248054.000000000000000,1.444311530730000,98.333335876500001,190.000000000000000,91.666664123499999,164.134095849000005,14.698872344700000,40714119.011699996888638,167.333328246999997,180.000000000000000,201701,2017,01, 
1,wetland,2,324.000000000000000,0.001886512356000,104.666664123999993,183.666671753000003,79.000007629400002,143.750000094000001,19.297973287100000,46575.000030499999411,143.000000000000000,171.333328246999997,201701,2017,01, 
2,grassland,3,14694.000000000000000,0.085556828886000,101.000000000000000,190.000000000000000,89.000000000000000,155.814482152000011,17.737555590800000,2289538.000750000122935,160.000000000000000,176.000000000000000,201701,2017,01, 
3,shrubland,4,163628.000000000000000,0.952735320332000,99.666664123499999,190.000000000000000,90.333335876500001,158.163531543000005,12.457503310200000,25879982.339299999177456,159.333328246999997,173.333328246999997,201701,2017,01, 
4,water,5,196.000000000000000,0.001141223524000,98.666664123499999,174.333328246999997,75.666664123499999,130.435374239999987,17.656710648899999,25565.333351099998254,130.333328246999997,154.500000000000000,201701,2017,01, 
5,urbansoil,6,373.000000000000000,0.002171818237000,104.000000000000000,186.000000000000000,82.000000000000000,148.265415550000000,17.196584768699999,55303.000000000000000,151.000000000000000,168.866665648999998,201701,2017,01, 
6,ag,7,10671.000000000000000,0.062132633799000,103.000000000000000,188.666671753000003,85.666671752900001,152.547027761999999,15.089141977100001,1627829.333249999908730,154.666671753000003,170.666671753000003,201701,2017,01, 
7,forest,1,248054.000000000000000,1.444311530730000,93.000000000000000,190.000000000000000,97.000000000000000,172.529106559000013,10.532392866500000,42796534.998499996960163,174.333328246999997,183.666671753000003,201702,2017,02, 
8,wetland,2,324.000000000000000,0.001886512356000,106.333335876000007,187.333328246999997,80.999992370599998,157.795267176000010,17.121076428799999,51125.666564899998775,160.000000000000000,177.333328246999997,201702,2017,02, 
9,grassland,3,14694.000000000000000,0.085556828886000,107.333335876000007,190.000000000000000,82.666664123499999,167.001043549000002,12.802095057900001,2453913.333910000044852,170.333328246999997,180.000000000000000,201702,2017,02, 
10,shrubland,4,163628.000000000000000,0.952735320332000,98.000000000000000,190.000000000000000,92.000000000000000,166.920747070999994,9.200352867259999,27312908.001699998974800,167.666671753000003,178.000000000000000,201702,2017,02, 
11,water,5,196.000000000000000,0.001141223524000,94.000000000000000,176.666671753000003,82.666671752900001,142.649660033000004,18.505399604600001,27959.333366399998340,144.666664123999993,165.000000000000000,201702,2017,02, 
12,urbansoil,6,373.000000000000000,0.002171818237000,103.000000000000000,184.666671753000003,81.666671752900001,154.917783885000006,14.525862631900001,57784.333389300001727,156.333328246999997,170.333328246999997,201702,2017,02, 
13,ag,7,10671.000000000000000,0.062132633799000,103.333335876000007,189.000000000000000,85.666664123499999,162.900134320999996,11.376793497500000,1738307.333339999895543,163.666671753000003,177.000000000000000,201702,2017,02, 
14,forest,1,248054.000000000000000,1.444311530730000,103.666664123999993,190.000000000000000,86.333335876500001,174.939267268999998,6.557765273670000,43394385.003300003707409,175.666671753000003,183.000000000000000,201703,2017,03, 
15,wetland,2,324.000000000000000,0.001886512356000,114.333335876000007,187.000000000000000,72.666664123499999,164.409464895000013,13.332087251600001,53268.666625999998359,167.666671753000003,177.000000000000000,201703,2017,03, 
16,grassland,3,14694.000000000000000,0.085556828886000,115.000000000000000,188.000000000000000,73.000000000000000,168.584841871000009,8.506060580970001,2477185.666449999902397,170.000000000000000,177.000000000000000,201703,2017,03, 
17,shrubland,4,163628.000000000000000,0.952735320332000,111.666664123999993,189.333328246999997,77.666664123499999,167.854161048999998,6.801378524080000,27465640.664200000464916,168.000000000000000,176.333328246999997,201703,2017,03, 
18,water,5,196.000000000000000,0.001141223524000,99.000000000000000,185.000000000000000,86.000000000000000,150.950680285000004,17.743554822699998,29586.333335899998929,156.333328246999997,169.333335876000007,201703,2017,03, 
19,urbansoil,6,373.000000000000000,0.002171818237000,114.000000000000000,186.000000000000000,72.000000000000000,155.984807748000009,12.920510609600001,58182.333290100003069,157.666671753000003,170.333328246999997,201703,2017,03, 
20,ag,7,10671.000000000000000,0.062132633799000,126.000000000000000,189.000000000000000,63.000000000000000,165.010870519000008,9.175584216140001,1760830.999310000101104,165.666671753000003,176.333328246999997,201703,2017,03, 
21,forest,1,248054.000000000000000,1.444311530730000,125.000000000000000,190.000000000000000,65.000000000000000,169.508752149999992,8.366576348850000,42047324.005800001323223,170.000000000000000,180.333328246999997,201704,2017,04, 
22,wetland,2,324.000000000000000,0.001886512356000,117.000000000000000,189.333328246999997,72.333328247099999,160.601851804999995,12.892969176799999,52034.999984699999914,161.000000000000000,176.000000000000000,201704,2017,04, 
23,grassland,3,14694.000000000000000,0.085556828886000,106.666664123999993,188.333328246999997,81.666664123499999,157.334785151999995,9.322285518090000,2311877.333029999863356,157.000000000000000,169.000000000000000,201704,2017,04, 
24,shrubland,4,163628.000000000000000,0.952735320332000,119.333335876000007,190.000000000000000,70.666664123499999,160.917752500000006,8.994789158540000,26330650.006000000983477,161.000000000000000,172.333328246999997,201704,2017,04, 
25,water,5,196.000000000000000,0.001141223524000,93.666664123499999,182.000000000000000,88.333335876500001,150.190476397999987,17.239476196199998,29437.333374000001641,151.500000000000000,170.666664123999993,201704,2017,04, 
26,urbansoil,6,373.000000000000000,0.002171818237000,114.000000000000000,187.666671753000003,73.666671752900001,152.339588748000011,13.741614006800001,56822.666603099998611,153.000000000000000,169.933334351000013,201704,2017,04, 
27,ag,7,10671.000000000000000,0.062132633799000,118.666664123999993,189.000000000000000,70.333335876500001,157.315809195000014,9.803203905120000,1678716.999920000089332,157.333328246999997,170.333328246999997,201704,2017,04, 
28,forest,1,248054.000000000000000,1.444311530730000,128.666671753000003,189.000000000000000,60.333328247099999,163.548560683000005,8.931089017320000,40568874.671599999070168,164.000000000000000,174.666671753000003,201705,2017,05, 
29,wetland,2,324.000000000000000,0.001886512356000,111.666664123999993,184.666671753000003,73.000007629400002,152.407407124999992,13.022166270700000,49379.999908400001004,152.000000000000000,170.333328246999997,201705,2017,05, 
30,grassland,3,14694.000000000000000,0.085556828886000,110.000000000000000,180.666671753000003,70.666671752900001,144.871239967000008,8.531857694079999,2128738.000070000067353,143.666671753000003,157.000000000000000,201705,2017,05, 
31,shrubland,4,163628.000000000000000,0.952735320332000,116.333335876000007,188.000000000000000,71.666664123499999,153.598819701999986,8.974410488249999,25133067.670200001448393,154.000000000000000,165.000000000000000,201705,2017,05, 
32,water,5,196.000000000000000,0.001141223524000,108.333335876000007,176.666671753000003,68.333335876500001,147.931972503999987,14.999694727600000,28994.666610699998273,147.833335876000007,167.333328246999997,201705,2017,05, 
33,urbansoil,6,373.000000000000000,0.002171818237000,113.000000000000000,173.000000000000000,60.000000000000000,145.777479975000006,12.128061955800000,54375.000030499999411,144.666671753000003,162.600003052000005,201705,2017,05, 
34,ag,7,10671.000000000000000,0.062132633799000,120.666664123999993,184.666671753000003,64.000007629400002,150.423328055000013,9.001050554220001,1605167.333670000080019,150.000000000000000,162.000000000000000,201705,2017,05, 
35,forest,1,248054.000000000000000,1.444311530730000,121.666664123999993,188.000000000000000,66.333335876500001,155.368712641999991,10.101091403200000,38539830.645700000226498,156.000000000000000,168.333328246999997,201706,2017,06, 
36,wetland,2,324.000000000000000,0.001886512356000,117.666664123999993,172.000000000000000,54.333335876500001,144.038065827999986,12.847618935900000,46668.333328200002143,142.000000000000000,163.333328246999997,201706,2017,06, 
