OID_,LC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Date,Year,Month,MERGE_SRC
1,forest,1,578,1.445000043,0.558423162,3.320741415,2.762318254,1.46357961,0.419048742,845.9490144,1.485208869,2.030639529,2015_09,2015,9,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_09_LC15
2,wetland,2,1,0.0025,0.576445103,0.576445103,0,0.576445103,0,0.576445103,0.576445103,0.576445103,2015_09,2015,9,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_09_LC15
3,grassland,3,32,0.080000002,0.701109409,2.142705202,1.441595793,1.276897028,0.313112061,40.8607049,1.272556663,1.588129127,2015_09,2015,9,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_09_LC15
4,shrubland,4,387,0.967500029,0.525378287,2.674191475,2.148813188,1.434488526,0.429681101,555.1470594,1.422870159,2.005679274,2015_09,2015,9,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_09_LC15
5,urbansoil,5,2,0.005,0.824681759,1.035505772,0.210824013,0.930093765,0.105412006,1.860187531,0.930093765,1.01442337,2015_09,2015,9,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_09_LC15
6,ag,6,22,0.055000002,0.718369365,2.453870058,1.735500693,1.254244791,0.40305199,27.5933854,1.204061091,1.662619317,2015_09,2015,9,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_09_LC15
7,forest,1,578,1.445000043,53.02445602,154.5417175,101.5172615,116.7922003,21.39502967,67505.89175,122.1832161,142.3471512,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_01_LC15
8,wetland,2,1,0.0025,121.7895279,121.7895279,0,121.7895279,0,121.7895279,121.7895279,121.7895279,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_01_LC15
9,grassland,3,32,0.080000002,60.39605713,141.0510101,80.654953,117.6985383,18.34171319,3766.353226,122.7486153,136.7907135,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_01_LC15
10,shrubland,4,387,0.967500029,53.9102478,151.75737,97.84712219,102.621191,24.90135121,39714.40092,104.1614227,134.7734161,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\Precipitation_CHIRPS\ExtractByMsk\Precip_LC.gdb\chirps_v2_0_2015_01_LC15
