OID_,LC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,Date,Year,Month
0,forest,1,138,1.38,3277,3994,717,3500.166667,184.9080689,483023,118,3371,3277,3436,3824,201701,2017,1
1,grassland,2,11,0.11,3425,3992,567,3644,203.9215535,40084,11,3425,3425,3544,3972,201701,2017,1
2,shrubland,3,99,0.99,3282,4160,878,3433.919192,178.6386046,339958,82,3290,3282,3369,3794,201701,2017,1
3,ag,4,6,0.06,3325,3702,377,3532.833333,119.017389,21197,6,3325,3325,3494,3702,201701,2017,1
4,forest,1,138,1.38,3453,4229,776,3840.130435,191.8754059,529938,129,3641,3453,3850,4064,201702,2017,2
5,grassland,2,11,0.11,3606,4179,573,3876.545455,178.5325861,42642,11,3606,3606,3838,4124,201702,2017,2
6,shrubland,3,99,0.99,3425,4170,745,3730.070707,186.2631598,369277,90,3572,3425,3652,4045,201702,2017,2
7,ag,4,6,0.06,3547,4006,459,3845.666667,160.9924084,23074,6,3547,3547,3889,4006,201702,2017,2
8,forest,1,138,1.38,3505,4137,632,3850.173913,162.935922,531324,126,3703,3505,3836,4094,201703,2017,3
9,grassland,2,11,0.11,3620,4153,533,3812.727273,211.259466,41940,10,3620,3640,3683,4143,201703,2017,3
10,shrubland,3,99,0.99,3527,4145,618,3756.181818,161.0879278,371862,94,3608,3527,3718,4087,201703,2017,3
11,ag,4,6,0.06,3588,4030,442,3853.5,175.4373107,23121,6,3588,3588,3909,4030,201703,2017,3
12,forest,1,138,1.38,2663,3701,1038,3163.210145,244.2881837,436523,128,3161,2663,3126,3617,201704,2017,4
13,grassland,2,11,0.11,2799,3719,920,3147.636364,358.9523323,34624,11,2799,2799,3005,3709,201704,2017,4
14,shrubland,3,99,0.99,2723,4056,1333,3078.929293,245.669658,304814,89,2858,2723,3012,3371,201704,2017,4
15,ag,4,6,0.06,2830,3384,554,3178,211.9253013,19068,6,2830,2830,3273,3384,201704,2017,4
16,forest,1,138,1.38,2251,3527,1276,2742.869565,288.4160096,378516,123,2439,2251,2669,3446,201705,2017,5
17,grassland,2,11,0.11,2408,3545,1137,2807.909091,455.8070673,30887,11,2408,2408,2608,3543,201705,2017,5
18,shrubland,3,99,0.99,2341,4011,1670,2692.30303,299.1092316,266538,88,2610,2341,2622,2916,201705,2017,5
19,ag,4,6,0.06,2419,2960,541,2740.166667,187.9959367,16441,6,2419,2419,2793,2960,201705,2017,5
20,forest,1,138,1.38,1819,3523,1704,2395.927536,378.7544162,330638,123,2189,1819,2277,3375,201706,2017,6
21,grassland,2,11,0.11,2119,3544,1425,2587,586.9238761,28457,11,2119,2119,2308,3542,201706,2017,6
22,shrubland,3,99,0.99,2060,3976,1916,2346.292929,390.4164638,232283,83,2185,2060,2219,2607,201706,2017,6
23,ag,4,6,0.06,2117,2638,521,2396.166667,171.4889857,14377,6,2117,2117,2394,2638,201706,2017,6
24,forest,1,138,1.38,1623,3500,1877,2216.978261,421.9717599,305943,117,2018,1623,2073,3321,201707,2017,7
25,grassland,2,11,0.11,1977,3521,1544,2472.545455,641.4030592,27198,11,1977,1977,2159,3519,201707,2017,7
26,shrubland,3,99,0.99,1891,3950,2059,2172.535354,434.4953258,215081,85,1952,1891,2028,2433,201707,2017,7
27,ag,4,6,0.06,1974,2451,477,2211.166667,156.2491778,13267,6,1974,1974,2175,2451,201707,2017,7
28,forest,1,138,1.38,1535,3483,1948,2121.181159,446.5253492,292723,119,1932,1535,1972,3296,201708,2017,8
29,grassland,2,11,0.11,1896,3501,1605,2403.363636,670.988995,26437,11,1896,1896,2068,3499,201708,2017,8
30,shrubland,3,99,0.99,1771,3930,2159,2079.242424,458.150963,205845,89,1834,1771,1929,2324,201708,2017,8
