OID_,LC,ZONE_CODE,COUNT,Soil_AREA,Soil_MIN,Soil_MAX,Soil_RANGE,Soil_MEAN,Soil_STD,Soil_SUM,Soil_VARIETY,Soil_MAJORITY,Soil_MINORITY,Soil_MEDIAN,Soil_PCT90,Soil_Date,Soil_Year,Soil_Month
1,forest,1,138,1.38,2482,3692,1210,3029.086957,246.324532,418014,120,3063,2482,3005,3622,1501,15,1
2,grassland,2,11,0.11,2966,3691,725,3223.727273,281.8716958,35461,11,2966,2966,3080,3689,1501,15,1
3,shrubland,3,99,0.99,2581,4120,1539,2923.606061,297.3096817,289437,88,2705,2581,2859,3145,1501,15,1
4,ag,4,6,0.06,2999,3134,135,3060,52.05766034,18360,6,2999,2999,3038,3134,1501,15,1
5,forest,1,138,1.38,2216,3624,1408,2818.253623,291.987196,388919,116,2732,2216,2768,3487,1502,15,2
6,grassland,2,11,0.11,2616,3513,897,2902.727273,368.7026619,31930,11,2616,2616,2731,3502,1502,15,2
7,shrubland,3,99,0.99,2343,4112,1769,2692.313131,320.160807,266539,92,2352,2343,2631,2971,1502,15,2
8,ag,4,6,0.06,2635,2889,254,2785.166667,102.0709176,16711,6,2635,2635,2806,2889,1502,15,2
9,forest,1,138,1.38,1578,3115,1537,2000.884058,377.0192221,276122,126,1757,1578,1889,2960,1503,15,3
10,grassland,2,11,0.11,1775,3005,1230,2166.363636,504.6698782,23830,11,1775,1775,1880,2988,1503,15,3
11,shrubland,3,99,0.99,1678,4075,2397,1930.363636,395.8167736,191106,86,1807,1678,1807,2220,1503,15,3
12,ag,4,6,0.06,1832,2036,204,1927.5,74.40150088,11565,6,1832,1832,1921,2036,1503,15,3
13,forest,1,138,1.38,1953,3211,1258,2368.405797,298.8223416,326840,127,2098,1953,2273,3055,1504,15,4
14,grassland,2,11,0.11,2362,3212,850,2628.454545,353.5658261,28913,11,2362,2362,2451,3208,1504,15,4
15,shrubland,3,99,0.99,2031,4073,2042,2378.808081,307.3230682,235502,87,2157,2031,2318,2582,1504,15,4
16,ag,4,6,0.06,2095,2601,506,2404.333333,164.5515792,14426,6,2095,2095,2396,2601,1504,15,4
17,forest,1,138,1.38,1710,2905,1195,2012.478261,300.1152247,277722,105,1857,1710,1917,2774,1505,15,5
18,grassland,2,11,0.11,1964,2984,1020,2270.181818,424.5568424,24972,11,1964,1964,2034,2953,1505,15,5
19,shrubland,3,99,0.99,1773,4014,2241,2018.89899,326.731085,199871,83,1919,1773,1943,2080,1505,15,5
20,ag,4,6,0.06,1844,2088,244,2001.166667,87.1481816,12007,6,1844,1844,1980,2088,1505,15,5
21,forest,1,138,1.38,1534,2786,1252,1803.927536,315.3265535,248942,109,1663,1534,1695,2621,1506,15,6
22,grassland,2,11,0.11,1752,2888,1136,2087.818182,473.3829544,22966,10,1821,1752,1821,2847,1506,15,6
23,shrubland,3,99,0.99,1593,3978,2385,1810.070707,353.5232552,179197,82,1699,1593,1708,1860,1506,15,6
24,ag,4,6,0.06,1683,1856,173,1780.5,70.02559056,10683,6,1683,1683,1733,1856,1506,15,6
25,forest,1,138,1.38,1456,2731,1275,1719.007246,313.3760647,237223,105,1581,1456,1606,2537,1507,15,7
26,grassland,2,11,0.11,1667,2847,1180,2011.090909,491.4955756,22122,11,1667,1667,1732,2800,1507,15,7
27,shrubland,3,99,0.99,1527,3952,2425,1725.828283,360.4563337,170857,84,1616,1527,1616,1770,1507,15,7
28,ag,4,6,0.06,1616,1761,145,1688.166667,64.05314634,10129,6,1616,1616,1632,1761,1507,15,7
29,forest,1,138,1.38,1426,2700,1274,1677.123188,309.5412326,231443,102,1539,1426,1566,2492,1508,15,8
30,grassland,2,11,0.11,1622,2826,1204,1969,502.0847447,21659,11,1622,1622,1682,2776,1508,15,8
31,shrubland,3,99,0.99,1497,3932,2435,1684.313131,361.9720857,166747,81,1517,1497,1574,1718,1508,15,8
32,ag,4,6,0.06,1580,1708,128,1639.5,58.32309434,9837,6,1580,1580,1584,1708,1508,15,8
33,forest,1,138,1.38,1414,2688,1274,1656.630435,307.5978005,228615,99,1523,1414,1546,2468,1509,15,9
34,grassland,2,11,0.11,1597,2821,1224,1947.363636,510.8068969,21421,10,1608,1597,1654,2769,1509,15,9
35,shrubland,3,99,0.99,1484,3915,2431,1663.727273,362.3876438,164709,81,1611,1484,1554,1689,1509,15,9
