OID_,NAME,ZONE_CODE,Soil_10_40_COUNT,Soil_10_40_AREA,Soil_10_40_MIN,Soil_10_40_MAX,Soil_10_40_RANGE,Soil_10_40_MEAN,Soil_10_40_STD,Soil_10_40_SUM,Soil_10_40_VARIETY,Soil_10_40_MAJORITY,Soil_10_40_MINORITY,Soil_10_40_MEDIAN,Soil_10_40_PCT90,Date,Soil_10_40_Year,Soil_10_40_Month,MERGE_SRC
1,Nekatambe,1,4.000000000000000,0.039999999999995,3002,3657,655,3332.500000000000000,317.671607166898000,13330.000000000000000,4,3002,3002,3028,3657,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
2,Nemananga,2,2.000000000000000,0.019999999999998,3001,3111,110,3056.000000000000000,55.000000000000000,6112.000000000000000,2,3001,3001,3001,3111,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
3,Sidinda,3,6.000000000000000,0.059999999999993,2984,3653,669,3345.166666666670000,299.272126258954000,20071.000000000000000,6,2984,2984,3101,3653,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
4,Simangani,4,5.000000000000000,0.049999999999994,2863,3646,783,3355.000000000000000,328.637794539825000,16775.000000000000000,5,2863,2863,3581,3646,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
5,Unknown 16,5,1.000000000000000,0.009999999999999,3011,3011,0,3011.000000000000000,0.000000000000000,3011.000000000000000,1,3011,3011,3011,3011,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
6,Chidobe,6,1.000000000000000,0.009999999999999,3136,3136,0,3136.000000000000000,0.000000000000000,3136.000000000000000,1,3136,3136,3136,3136,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
7,Jambezi,7,2.000000000000000,0.019999999999998,3093,3094,1,3093.500000000000000,0.500000000000000,6187.000000000000000,2,3093,3093,3093,3094,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
8,Kachecheti,8,2.000000000000000,0.019999999999998,3123,3134,11,3128.500000000000000,5.500000000000000,6257.000000000000000,2,3123,3123,3123,3134,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
9,Mabale,9,1.000000000000000,0.009999999999999,3028,3028,0,3028.000000000000000,0.000000000000000,3028.000000000000000,1,3028,3028,3028,3028,1501,15,1,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1501_WMA
10,Nekatambe,1,4.000000000000000,0.039999999999995,2779,3609,830,3201.750000000000000,388.320341342042000,12807.000000000000000,4,2779,2779,2850,3609,1502,15,2,C:\Users\kem99059\Desktop\Zambezi\Climate\SoilMoisture\10to40\10_40Clip\10to40.gdb\tavg_1502_WMA
