OID_,NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Date,Year,Month
0,Nekatambe,1,5886.000000000000000,0.034271641134000,104.000000000000000,190.000000000000000,86.000000000000000,162.228791502999997,13.415076040400001,954878.666786000016145,164.333328246999997,178.000000000000000,201701,2017,01
1,Nemananga,2,3135.000000000000000,0.018253753815000,104.666664123999993,189.000000000000000,84.333335876500001,153.423604541000003,20.150052957800000,480983.000237000000197,154.333328246999997,179.666671753000003,201701,2017,01
2,Sidinda,3,8451.000000000000000,0.049206530619000,104.333335876000007,190.000000000000000,85.666664123499999,165.731077142000004,13.219313660699999,1400593.332919999957085,168.333328246999997,180.333328246999997,201701,2017,01
3,Simangani,4,7231.000000000000000,0.042102996439000,113.000000000000000,190.000000000000000,77.000000000000000,163.319273533999990,14.009162838800000,1180961.666919999988750,165.666671753000003,179.000000000000000,201701,2017,01
4,Unknown 16,5,1659.000000000000000,0.009659641971000,110.333335876000007,187.666671753000003,77.333335876500001,163.205344496000009,11.888838492100000,270757.666519000020344,165.000000000000000,176.000000000000000,201701,2017,01
5,Chidobe,6,1917.000000000000000,0.011161864773000,98.333335876500001,190.000000000000000,91.666664123499999,148.935315569000011,17.406626644100001,285508.999947000003885,150.333328246999997,170.333328246999997,201701,2017,01
6,Jambezi,7,3851.000000000000000,0.022422713219000,108.000000000000000,189.333328246999997,81.333328247099999,158.610490808999998,17.719219334500000,610809.000106999999844,162.333328246999997,179.333328246999997,201701,2017,01
7,Kachecheti,8,2620.000000000000000,0.015255130780000,99.333335876500001,188.000000000000000,88.666664123499999,137.953944143999991,17.972599593100000,361439.333655999973416,137.000000000000000,163.000000000000000,201701,2017,01
8,Mabale,9,1782.000000000000000,0.010375817958000,111.666664123999993,189.000000000000000,77.333335876500001,165.929293139000009,12.491727781100000,295686.000373999995645,167.666671753000003,179.000000000000000,201701,2017,01
9,Nekatambe,1,5886.000000000000000,0.034271641134000,94.000000000000000,190.000000000000000,96.000000000000000,172.034431884000014,10.827759118500000,1012594.666070000035688,174.666671753000003,183.333328246999997,201702,2017,02
10,Nemananga,2,3135.000000000000000,0.018253753815000,130.333328246999997,189.333328246999997,59.000000000000000,171.635194175999999,12.033475698500000,538076.333740000030957,174.333328246999997,185.333328246999997,201702,2017,02
11,Sidinda,3,8451.000000000000000,0.049206530619000,134.000000000000000,190.000000000000000,56.000000000000000,177.779749732999989,7.985876998270000,1502416.664989999961108,180.000000000000000,185.333328246999997,201702,2017,02
12,Simangani,4,7231.000000000000000,0.042102996439000,136.666671753000003,190.000000000000000,53.333328247099999,176.062923426999987,8.590566591140000,1273110.999300000024959,178.000000000000000,185.666671753000003,201702,2017,02
13,Unknown 16,5,1659.000000000000000,0.009659641971000,105.333335876000007,189.333328246999997,83.999992370599998,170.714084654999994,10.671959846200000,283214.666443000023719,173.000000000000000,182.000000000000000,201702,2017,02
14,Chidobe,6,1917.000000000000000,0.011161864773000,103.333335876000007,190.000000000000000,86.666664123499999,166.461832778000002,12.875634258400000,319107.333434999978635,167.666671753000003,181.666671753000003,201702,2017,02
15,Jambezi,7,3851.000000000000000,0.022422713219000,124.666664123999993,190.000000000000000,65.333335876500001,172.387518421999999,11.101165611500001,663864.333442999981344,175.333328246999997,184.666671753000003,201702,2017,02
16,Kachecheti,8,2620.000000000000000,0.015255130780000,126.666664123999993,189.000000000000000,62.333335876500001,161.087658956000013,12.751546715500000,422049.666466000024229,160.333328246999997,179.666671753000003,201702,2017,02
17,Mabale,9,1782.000000000000000,0.010375817958000,106.666664123999993,187.666671753000003,81.000007629400002,170.990647201000002,9.465733624309999,304705.333312999980990,172.333328246999997,181.333328246999997,201702,2017,02
18,Nekatambe,1,5886.000000000000000,0.034271641134000,99.000000000000000,189.666671753000003,90.666671752900001,171.170970764000003,10.602320130400001,1007512.333920000004582,173.666671753000003,182.333328246999997,201703,2017,03
19,Nemananga,2,3135.000000000000000,0.018253753815000,141.000000000000000,188.666671753000003,47.666671752900001,173.454970690000010,9.571767422700001,543781.333115000044927,176.000000000000000,184.000000000000000,201703,2017,03
20,Sidinda,3,8451.000000000000000,0.049206530619000,127.000000000000000,189.666671753000003,62.666671752900001,177.153394066000004,5.562215038800000,1497123.333249999908730,178.000000000000000,183.000000000000000,201703,2017,03
21,Simangani,4,7231.000000000000000,0.042102996439000,127.000000000000000,189.666671753000003,62.666671752900001,174.289217726000004,7.957232140360000,1260285.333369999891147,175.333328246999997,183.666671753000003,201703,2017,03
22,Unknown 16,5,1659.000000000000000,0.009659641971000,120.666664123999993,189.333328246999997,68.666664123499999,171.223025688999996,8.471652206210001,284058.999619000009261,172.000000000000000,181.000000000000000,201703,2017,03
23,Chidobe,6,1917.000000000000000,0.011161864773000,139.333328246999997,188.333328246999997,49.000000000000000,169.748739346999997,9.441077123359999,325408.333327999978792,170.666671753000003,181.333328246999997,201703,2017,03
24,Jambezi,7,3851.000000000000000,0.022422713219000,138.333328246999997,189.000000000000000,50.666671752900001,174.847052630000007,8.202105911060000,673335.999680000008084,177.333328246999997,182.666671753000003,201703,2017,03
25,Kachecheti,8,2620.000000000000000,0.015255130780000,142.000000000000000,189.000000000000000,47.000000000000000,170.577989878000011,9.755187288320000,446914.333480999979656,171.333328246999997,183.333328246999997,201703,2017,03
26,Mabale,9,1782.000000000000000,0.010375817958000,153.333328246999997,189.000000000000000,35.666671752900001,175.427796454999992,6.067407706500000,312612.333281999977771,176.000000000000000,183.000000000000000,201703,2017,03
27,Nekatambe,1,5886.000000000000000,0.034271641134000,102.000000000000000,189.666671753000003,87.666671752900001,162.427228444999997,11.970967175000000,956046.666625999961980,164.000000000000000,176.333328246999997,201704,2017,04
28,Nemananga,2,3135.000000000000000,0.018253753815000,133.666671753000003,189.333328246999997,55.666656494100003,166.049229053999994,10.654642595600000,520564.333083999983501,165.000000000000000,181.333328246999997,201704,2017,04
29,Sidinda,3,8451.000000000000000,0.049206530619000,132.000000000000000,188.666671753000003,56.666671752900001,161.944661502999992,8.460495543130000,1368594.334370000055060,162.000000000000000,172.666671753000003,201704,2017,04
30,Simangani,4,7231.000000000000000,0.042102996439000,126.000000000000000,188.666671753000003,62.666671752900001,161.824551858000007,11.302260748200000,1170153.334490000037476,161.666671753000003,176.000000000000000,201704,2017,04
31,Unknown 16,5,1659.000000000000000,0.009659641971000,119.000000000000000,182.333328246999997,63.333328247099999,160.918625802000008,9.877673057759999,266964.000205999996979,160.333328246999997,174.333328246999997,201704,2017,04
32,Chidobe,6,1917.000000000000000,0.011161864773000,134.333328246999997,190.000000000000000,55.666671752900001,162.186924161999997,10.713274708900000,310912.333617999975104,161.666671753000003,176.800003051999994,201704,2017,04
33,Jambezi,7,3851.000000000000000,0.022422713219000,139.333328246999997,189.333328246999997,50.000000000000000,164.810525442999989,8.839067081180000,634685.333481000037864,165.333328246999997,176.000000000000000,201704,2017,04
34,Kachecheti,8,2620.000000000000000,0.015255130780000,131.000000000000000,189.333328246999997,58.333328247099999,164.694529321999994,10.760202789199999,431499.666824000014458,164.333328246999997,179.000000000000000,201704,2017,04
35,Mabale,9,1782.000000000000000,0.010375817958000,138.666671753000003,190.000000000000000,51.333328247099999,168.391507544000007,8.794989128999999,300073.666443000023719,169.333328246999997,179.000000000000000,201704,2017,04
36,Nekatambe,1,5886.000000000000000,0.034271641134000,114.000000000000000,179.333328246999997,65.333328247099999,145.988900075000004,8.586593869750001,859290.665840000030585,146.666671753000003,156.666671753000003,201706,2017,06
37,Nemananga,2,3135.000000000000000,0.018253753815000,127.333335876000007,184.000000000000000,56.666664123499999,152.405635114999995,13.723456152800001,477791.666084000025876,146.333328246999997,175.666671753000003,201706,2017,06
38,Sidinda,3,8451.000000000000000,0.049206530619000,125.666664123999993,180.000000000000000,54.333335876500001,143.034196935000011,5.714374205470000,1208781.998300000093877,142.333328246999997,150.666671753000003,201706,2017,06
39,Simangani,4,7231.000000000000000,0.042102996439000,124.000000000000000,172.333328246999997,48.333328247099999,144.741713642999997,8.086831798830000,1046627.331349999993108,144.333328246999997,155.000000000000000,201706,2017,06
40,Unknown 16,5,1659.000000000000000,0.009659641971000,118.666664123999993,170.333328246999997,51.666664123499999,144.383965941000014,8.267413621279999,239532.999496000004001,142.666671753000003,155.333328246999997,201706,2017,06
41,Chidobe,6,1917.000000000000000,0.011161864773000,129.000000000000000,182.000000000000000,53.000000000000000,147.631716063999988,10.330194673099999,283009.999695000005886,145.333328246999997,163.000000000000000,201706,2017,06
42,Jambezi,7,3851.000000000000000,0.022422713219000,128.333328246999997,183.333328246999997,55.000000000000000,145.761706664999991,6.479919243680000,561328.332367000053637,145.333328246999997,153.333328246999997,201706,2017,06
43,Kachecheti,8,2620.000000000000000,0.015255130780000,126.333335876000007,184.333328246999997,57.999992370599998,152.214885310000000,11.678159064800001,398802.999512000009418,150.333328246999997,169.333328246999997,201706,2017,06
44,Mabale,9,1782.000000000000000,0.010375817958000,135.666671753000003,178.333328246999997,42.666656494100003,154.227459712000012,8.197403351340000,274833.333205999981146,154.666671753000003,164.666671753000003,201706,2017,06
45,Nekatambe,1,5886.000000000000000,0.034271641134000,105.333335876000007,163.000000000000000,57.666664123499999,139.254671828999989,6.356413698720000,819652.998383000027388,139.666671753000003,147.000000000000000,201707,2017,07
46,Nemananga,2,3135.000000000000000,0.018253753815000,123.666664123999993,184.333328246999997,60.666664123499999,145.780754828999989,14.384573756400000,457022.666389000019990,139.333328246999997,170.000000000000000,201707,2017,07
47,Sidinda,3,8451.000000000000000,0.049206530619000,122.333335876000007,158.666671753000003,36.333335876500001,136.474302502999990,4.437968013650000,1153344.330450000008568,136.000000000000000,142.000000000000000,201707,2017,07
48,Simangani,4,7231.000000000000000,0.042102996439000,121.333335876000007,163.333328246999997,41.999992370599998,138.516203200000007,6.162435356280000,1001610.665339999948628,138.333328246999997,146.666671753000003,201707,2017,07
49,Unknown 16,5,1659.000000000000000,0.009659641971000,118.666664123999993,165.666671753000003,47.000007629400002,138.289129854000009,6.991861842090000,229421.666427999996813,137.333328246999997,147.000000000000000,201707,2017,07
50,Chidobe,6,1917.000000000000000,0.011161864773000,124.000000000000000,174.333328246999997,50.333328247099999,141.360632951000014,9.728226597060001,270988.333365999977104,138.666671753000003,156.000000000000000,201707,2017,07
51,Jambezi,7,3851.000000000000000,0.022422713219000,123.666664123999993,170.000000000000000,46.333335876500001,137.843070761999996,5.578233967190000,530833.665504000033252,137.333328246999997,144.000000000000000,201707,2017,07
