OID_,NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,Date,Year,Month,MERGE_SRC
0,Nekatambe,1,15.000000000000000,0.037500001117600,306,331,24,319.617702230000020,7.734852765380000,4794.265533449999566,,,,321,330,201702,2017,02, 
1,Nemananga,2,7.000000000000000,0.017500000521500,282,309,27,295.637799943999994,8.475686289490000,2069.464599609999823,,,,296,306,201702,2017,02, 
2,Sidinda,3,18.000000000000000,0.045000001341100,275,307,32,291.056128607999995,9.843801770300001,5239.010314940000171,,,,292,306,201702,2017,02, 
3,Simangani,4,17.000000000000000,0.042500001266600,273,303,30,286.353088378999985,8.612960679670000,4868.002502440000171,,,,287,296,201702,2017,02, 
4,Unknown 16,5,4.000000000000000,0.010000000298000,266,289,23,279.615081787000008,8.393097559919999,1118.460327150000012,,,,281,287,201702,2017,02, 
5,Chidobe,6,3.000000000000000,0.007500000223520,272,277,5,274.643992105999985,2.064056972050000,823.931976318000011,,,,275,277,201702,2017,02, 
6,Jambezi,7,10.000000000000000,0.025000000745100,258,289,31,274.580966187000001,10.087349947500000,2745.809661870000127,,,,274,287,201702,2017,02, 
7,Kachecheti,8,5.000000000000000,0.012500000372500,277,290,13,283.907769775000020,4.517298999130000,1419.538848879999932,,,,284,289,201702,2017,02, 
8,Mabale,9,5.000000000000000,0.012500000372500,345,370,25,357.250152587999992,7.943828401070000,1786.250762939999959,,,,357,365,201702,2017,02, 
9,Nekatambe,1,15.000000000000000,0.037500001117600,73,87,15,78.890587870299996,3.901781620720000,1183.358818050000082,,,,78,84,201703,2017,03, 
10,Nemananga,2,7.000000000000000,0.017500000521500,83,97,14,87.972886221699994,4.412480943710000,615.810203551999962,,,,88,93,201703,2017,03, 
11,Sidinda,3,18.000000000000000,0.045000001341100,78,88,10,81.622670915399993,2.218977255210000,1469.208076480000045,,,,81,84,201703,2017,03, 
12,Simangani,4,17.000000000000000,0.042500001266600,76,87,11,81.491096496599994,3.149196825680000,1385.348640440000054,,,,81,86,201703,2017,03, 
13,Unknown 16,5,4.000000000000000,0.010000000298000,82,90,9,86.790603637700002,3.193939402840000,347.162414550999983,,,,88,90,201703,2017,03, 
14,Chidobe,6,3.000000000000000,0.007500000223520,86,88,2,87.144513448100000,1.136178770330000,261.433540343999994,,,,88,88,201703,2017,03, 
15,Jambezi,7,10.000000000000000,0.025000000745100,77,88,11,82.662357330299997,2.768431446760000,826.623573302999944,,,,83,85,201703,2017,03, 
16,Kachecheti,8,5.000000000000000,0.012500000372500,87,96,9,91.911193847700005,4.008726145630000,459.555969237999989,,,,93,96,201703,2017,03, 
17,Mabale,9,5.000000000000000,0.012500000372500,73,81,8,76.539961242700002,2.641092729060000,382.699806212999988,,,,76,79,201703,2017,03, 
18,Nekatambe,1,15.000000000000000,0.037500001117600,23,39,16,32.271376673399999,4.973072381640000,484.070650101000012,,,,34,37,201704,2017,04, 
19,Nemananga,2,7.000000000000000,0.017500000521500,28,34,6,30.186993462699999,1.694547451150000,211.308954239000002,,,,30,32,201704,2017,04, 
20,Sidinda,3,18.000000000000000,0.045000001341100,24,30,5,27.256869104200000,1.607061694000000,490.623643875000027,,,,27,29,201704,2017,04, 
21,Simangani,4,17.000000000000000,0.042500001266600,24,31,7,28.016728457300001,1.716073872970000,476.284383773999991,,,,28,30,201704,2017,04, 
22,Unknown 16,5,4.000000000000000,0.010000000298000,28,30,2,29.527721405000001,0.737856330140000,118.110885620000005,,,,30,30,201704,2017,04, 
23,Chidobe,6,3.000000000000000,0.007500000223520,31,34,4,31.920488993300001,1.720775370750000,95.761466979999994,,,,31,34,201704,2017,04, 
24,Jambezi,7,10.000000000000000,0.025000000745100,26,32,5,29.186642074600002,1.779344492320000,291.866420746000017,,,,29,31,201704,2017,04, 
25,Kachecheti,8,5.000000000000000,0.012500000372500,30,33,3,32.168812942499997,1.070981110020000,160.844064712999995,,,,32,33,201704,2017,04, 
26,Mabale,9,5.000000000000000,0.012500000372500,33,36,3,34.089288330099997,1.000684334640000,170.446441649999997,,,,34,35,201704,2017,04, 
27,Nekatambe,1,15.000000000000000,0.037500001117600,1,2,1,1.392120313640000,0.161898388724000,20.881804704699999,,,,1,2,201705,2017,05, 
28,Nemananga,2,7.000000000000000,0.017500000521500,2,2,0,1.689517021180000,0.067403858418700,11.826619148300001,,,,2,2,201705,2017,05, 
29,Sidinda,3,18.000000000000000,0.045000001341100,1,1,1,1.024265696610000,0.186318711041000,18.436782538900001,,,,1,1,201705,2017,05, 
30,Simangani,4,17.000000000000000,0.042500001266600,1,1,0,0.734852198292000,0.068724022097800,12.492487370999999,,,,1,1,201705,2017,05, 
