OID_	NAME	ZONE_CODE	COUNT	AREA	MIN	MAX	RANGE	MEAN	STD	SUM	VARIETY	MAJORITY	MINORITY	MEDIAN	PCT90	Date	Year	Month	MERGE_SRC
0	Nekatambe	1	4	0.04	3403	3926	523	3664	242.3272581	14656	4	3403	3403	3442	3926	201701	2017	1	 
1	Nemananga	2	2	0.02	3499	3530	31	3514.5	15.5	7029	2	3499	3499	3499	3530	201701	2017	1	 
2	Sidinda	3	6	0.06	3414	3853	439	3653.166667	192.8534994	21919	6	3414	3414	3531	3853	201701	2017	1	 
3	Simangani	4	5	0.05	3338	3836	498	3639	222.8111308	18195	5	3338	3338	3798	3836	201701	2017	1	 
4	Unknown 16	5	1	0.01	3387	3387	0	3387	0	3387	1	3387	3387	3387	3387	201701	2017	1	 
5	Chidobe	6	1	0.01	3776	3776	0	3776	0	3776	1	3776	3776	3776	3776	201701	2017	1	 
6	Jambezi	7	2	0.02	3502	3537	35	3519.5	17.5	7039	2	3502	3502	3502	3537	201701	2017	1	 
7	Kachecheti	8	2	0.02	3627	3702	75	3664.5	37.5	7329	2	3627	3627	3627	3702	201701	2017	1	 
8	Mabale	9	1	0.01	3502	3502	0	3502	0	3502	1	3502	3502	3502	3502	201701	2017	1	 
9	Nekatambe	1	4	0.04	3739	4119	380	3933.25	161.0688905	15733	4	3739	3739	3812	4119	201702	2017	2	 
10	Nemananga	2	2	0.02	3864	3888	24	3876	12	7752	2	3864	3864	3864	3888	201702	2017	2	 
11	Sidinda	3	6	0.06	3725	4059	334	3913.333333	140.5022736	23480	6	3725	3725	3810	4059	201702	2017	2	 
12	Simangani	4	5	0.05	3641	4018	377	3865	165.473865	19325	5	3641	3641	3986	4018	201702	2017	2	 
13	Unknown 16	5	1	0.01	3615	3615	0	3615	0	3615	1	3615	3615	3615	3615	201702	2017	2	 
14	Chidobe	6	1	0.01	4053	4053	0	4053	0	4053	1	4053	4053	4053	4053	201702	2017	2	 
15	Jambezi	7	2	0.02	3830	3845	15	3837.5	7.5	7675	2	3830	3830	3830	3845	201702	2017	2	 
16	Kachecheti	8	2	0.02	3969	4006	37	3987.5	18.5	7975	2	3969	3969	3969	4006	201702	2017	2	 
17	Mabale	9	1	0.01	3953	3953	0	3953	0	3953	1	3953	3953	3953	3953	201702	2017	2	 
18	Nekatambe	1	4	0.04	3768	4112	344	3959	154.0568077	15836	4	3768	3768	3847	4112	201703	2017	3	 
19	Nemananga	2	2	0.02	3852	3931	79	3891.5	39.5	7783	2	3852	3852	3852	3931	201703	2017	3	 
20	Sidinda	3	6	0.06	3735	4134	399	3954.833333	170.1934357	23729	6	3735	3735	3823	4134	201703	2017	3	 
21	Simangani	4	5	0.05	3665	4107	442	3948	188.7474503	19740	5	3665	3665	4094	4107	201703	2017	3	 
22	Unknown 16	5	1	0.01	3714	3714	0	3714	0	3714	1	3714	3714	3714	3714	201703	2017	3	 
23	Chidobe	6	1	0.01	4048	4048	0	4048	0	4048	1	4048	4048	4048	4048	201703	2017	3	 
24	Jambezi	7	2	0.02	3832	3846	14	3839	7	7678	2	3832	3832	3832	3846	201703	2017	3	 
25	Kachecheti	8	2	0.02	4027	4030	3	4028.5	1.5	8057	2	4027	4027	4027	4030	201703	2017	3	 
26	Mabale	9	1	0.01	3943	3943	0	3943	0	3943	1	3943	3943	3943	3943	201703	2017	3	 
27	Nekatambe	1	4	0.04	2995	3675	680	3373.5	295.9801514	13494	4	2995	2995	3174	3675	201704	2017	4	 
28	Nemananga	2	2	0.02	3086	3285	199	3185.5	99.5	6371	2	3086	3086	3086	3285	201704	2017	4	 
29	Sidinda	3	6	0.06	3019	3658	639	3354.5	289.0131197	20127	6	3019	3019	3115	3658	201704	2017	4	 
30	Simangani	4	5	0.05	2759	3638	879	3343.8	362.9216995	16719	5	2759	2759	3614	3638	201704	2017	4	 
31	Unknown 16	5	1	0.01	2974	2974	0	2974	0	2974	1	2974	2974	2974	2974	201704	2017	4	 
32	Chidobe	6	1	0.01	3353	3353	0	3353	0	3353	1	3353	3353	3353	3353	201704	2017	4	 
33	Jambezi	7	2	0.02	3135	3180	45	3157.5	22.5	6315	2	3135	3135	3135	3180	201704	2017	4	 
34	Kachecheti	8	2	0.02	3350	3384	34	3367	17	6734	2	3350	3350	3350	3384	201704	2017	4	 
35	Mabale	9	1	0.01	3287	3287	0	3287	0	3287	1	3287	3287	3287	3287	201704	2017	4	 
36	Nekatambe	1	4	0.04	2550	3465	915	3048.5	418.2932584	12194	4	2550	2550	2719	3465	201705	2017	5	 
37	Nemananga	2	2	0.02	2532	2865	333	2698.5	166.5	5397	2	2532	2532	2532	2865	201705	2017	5	 
